year;title;studios;producers;winner
2023;Shadow Empire;Moonlight Films;Sydney Miller and Morgan Lewis and Jordan Walker;
2008;Eternal Paradox;Moonlight Films;Jordan Williams and Alex Johnson and Morgan Hall;
2003;Eternal Chronicle;Titan Films;Logan Davis and Alex Taylor and Quinn Williams;
2008;Lonely Paradox;Nova Pictures;Morgan King and Finley Williams;
2025;Hidden Miracle;Sunset Cinema;Riley Anderson and Sydney Davis and Blake Hall;
2001;Eternal Miracle;Sunset Cinema;Skyler Clark and Jamie Smith and Alex Brown;
2026;Distant Miracle;Nova Pictures;Sydney Brown;
2003;Secret Quest;Titan Films;Parker Allen and Jordan Williams;
2027;Silent Destiny;Silver Screen Productions;Rowan Hall and Morgan Williams and Jordan Smith;
2021;Storm Revelation;Silver Screen Productions;Finley Anderson and Taylor Lewis;
2005;Hidden Fall;Aurora Media;Parker Walker and Skyler Hall;
2025;Storm Odyssey;Nova Pictures;Jordan Miller and Morgan Hall and Cameron Young;
2021;Fallen Journey;Lighthouse Pictures;Blake Baker and Alex Jones;
2015;Hidden Whisper;Titan Films;Taylor Anderson;
2000;Last Labyrinth;Lighthouse Pictures;Rowan King;
2022;Lonely Odyssey;Aurora Media;Jamie Young and Blake Walker and Logan Scott;
2019;Silent Saga;Nova Pictures;Skyler Young and Casey Brown and Skyler Clark;
2008;Silent Echo;Sunset Cinema;Avery Walker and Jamie Brown and Dakota Allen;
2014;Golden Miracle;Titan Films;Morgan Young and Alex Williams;
2001;Eternal Frontier;Moonlight Films;Finley Baker;
2028;Last Frontier;Sunset Cinema;Dakota Clark and Blake Johnson and Jamie Allen;
2024;Lonely Paradox;Titan Films;Blake Allen and Morgan Williams and Jamie Smith;
2026;Mystic Frontier;Eclipse Entertainment;Morgan Johnson and Casey Young;
2022;Celestial Odyssey;Blue Horizon;Riley Davis and Morgan Walker and Riley Allen;
2006;Radiant Odyssey;Aurora Media;Cameron Williams;
2014;Fallen Labyrinth;Eclipse Entertainment;Skyler Smith;
2001;Eternal Whisper;Lighthouse Pictures;Sydney Miller and Cameron Miller;
2004;Hidden Fall;Lighthouse Pictures;Rowan King and Avery Hall and Finley Wilson;
2010;Mystic Promise;Nova Pictures;Quinn Baker;
2023;Last Destiny;Eclipse Entertainment;Emerson Davis and Riley Davis;
2009;Epic Reckoning;Nova Pictures;Emerson Clark and Morgan Lewis and Emerson Young;
2021;Celestial Frontier;Blue Horizon;Alex King and Morgan Smith;
2001;Silent Empire;Blue Horizon;Reese Anderson;
2001;Mystic Empire;Eclipse Entertainment;Blake Allen;
2027;Eternal Quest;Eclipse Entertainment;Jamie King and Reese Johnson;
2012;Celestial Revelation;Eclipse Entertainment;Alex Anderson;
2027;Fallen Quest;Silver Screen Productions;Emerson Baker and Riley Davis and Reese Allen;
2021;Golden Journey;Nova Pictures;Sydney Williams and Avery Johnson and Quinn Anderson;
2004;Storm Labyrinth;Blue Horizon;Rowan Allen;
2004;Silent Reckoning;Silver Screen Productions;Jordan Baker and Reese Young and Cameron Scott;
2025;Radiant Echo;Sunset Cinema;Sydney Brown;
2005;Celestial Frontier;Eclipse Entertainment;Taylor Lewis and Jamie Davis;
2010;Epic Destiny;Sunset Cinema;Sydney Young and Emerson Smith and Morgan Lewis;
2028;Lonely Paradox;Sunset Cinema;Rowan Walker;
2003;Ancient Chronicle;Eclipse Entertainment;Reese Smith and Sydney Lewis and Sydney King;
2001;Mystic Empire;Silver Screen Productions;Taylor Williams and Casey Scott and Emerson Smith;
2006;Infinite Whisper;Starlight Studios;Emerson Hall;
2002;Shadow Saga;Titan Films;Rowan Johnson and Taylor Brown and Jordan Miller;
2017;Golden Labyrinth;Sunset Cinema;Quinn Walker and Dakota Walker;
2000;Ancient Odyssey;Eclipse Entertainment;Finley Brown;
2018;Silent Legacy;Silver Screen Productions;Morgan Taylor and Reese Baker and Taylor Taylor;
2014;Ancient Fall;Moonlight Films;Casey Scott and Jamie Jones;
2025;Eternal Destiny;Nova Pictures;Blake Smith and Emerson Scott;
2001;Crimson Labyrinth;Lighthouse Pictures;Emerson Scott and Taylor Taylor;
2023;Epic Empire;Aurora Media;Sydney Jones and Casey Miller and Jamie Baker;
2006;Hidden Journey;Lighthouse Pictures;Emerson Allen;
2002;Mystic Legacy;Blue Horizon;Riley Green;
2010;Epic Reckoning;Sunset Cinema;Reese Baker;yes
2006;Radiant Miracle;Titan Films;Finley Taylor and Cameron Jones;
2011;Radiant Whisper;Nova Pictures;Rowan Wilson;
2022;Celestial Chronicle;Silver Screen Productions;Rowan Young;
2011;Mystic Miracle;Eclipse Entertainment;Casey Baker;yes
2008;Shadow Frontier;Sunset Cinema;Taylor Brown and Alex King;
2026;Distant Labyrinth;Aurora Media;Riley Johnson and Emerson Anderson and Emerson Scott;
2024;Shadow Rise;Aurora Media;Cameron Taylor;
2016;Last Legacy;Aurora Media;Sydney Smith and Jamie Baker;
2024;Last Reckoning;Titan Films;Casey Green;
2021;Shadow Miracle;Silver Screen Productions;Jamie Young;
2008;Epic Quest;Moonlight Films;Riley King and Blake Walker and Skyler Allen;
2001;Radiant Odyssey;Eclipse Entertainment;Parker Anderson and Cameron Scott and Cameron Miller;
2012;Epic Labyrinth;Starlight Studios;Parker Walker and Jamie King and Avery Lewis;
2011;Broken Miracle;Lighthouse Pictures;Sydney Jones;
2007;Golden Echo;Blue Horizon;Logan Miller;
2019;Hidden Quest;Aurora Media;Morgan Young and Skyler Young;
2005;Celestial Saga;Sunset Cinema;Logan Green;
2004;Last Horizon;Lighthouse Pictures;Jordan Miller;
2005;Last Fall;Lighthouse Pictures;Alex Taylor and Taylor Davis and Dakota Baker;
2027;Broken Journey;Sunset Cinema;Finley Jones and Cameron Miller;
2016;Secret Journey;Silver Screen Productions;Finley Green and Taylor Wilson;
2004;Hidden Saga;Sunset Cinema;Sydney Hall and Logan Baker and Morgan Miller;
2019;Lonely Horizon;Eclipse Entertainment;Morgan Brown and Skyler Jones and Finley Scott;
2028;Celestial Echo;Aurora Media;Jordan King and Quinn Wilson;
2015;Ancient Rise;Lighthouse Pictures;Cameron Williams and Quinn Jones and Parker Young;
2029;Golden Destiny;Lighthouse Pictures;Quinn Anderson and Riley Smith and Alex Green;
2016;Crimson Fall;Sunset Cinema;Rowan Hall and Blake Williams and Logan Hall;
2008;Secret Frontier;Aurora Media;Blake Baker and Parker Walker and Riley Hall;
2017;Broken Journey;Silver Screen Productions;Emerson Young and Parker Taylor and Cameron Lewis;
2012;Shadow Odyssey;Sunset Cinema;Casey Williams and Riley King;
2010;Eternal Paradox;Moonlight Films;Avery Smith;
2026;Shadow Miracle;Lighthouse Pictures;Taylor Brown and Parker Wilson;
2019;Silent Fall;Aurora Media;Sydney Taylor and Finley Johnson and Casey Young;
2006;Last Destiny;Sunset Cinema;Finley King;
2007;Lonely Journey;Moonlight Films;Jamie Smith and Casey Brown;
2024;Ancient Rise;Aurora Media;Cameron Davis and Sydney Smith;
2002;Golden Frontier;Blue Horizon;Emerson Green and Blake Lewis and Parker Wilson;
2006;Fallen Fall;Lighthouse Pictures;Parker Miller;
2003;Eternal Legacy;Eclipse Entertainment;Rowan Williams and Sydney Anderson;
2026;Distant Chronicle;Titan Films;Cameron Young and Jamie Clark;
2014;Fallen Labyrinth;Moonlight Films;Morgan Anderson and Taylor Walker;
2007;Lost Revelation;Aurora Media;Sydney Scott and Alex Anderson;
2002;Ancient Revelation;Starlight Studios;Casey Young and Rowan Lewis and Riley Green;
2023;Infinite Miracle;Sunset Cinema;Jamie Anderson;
2006;Lost Paradox;Silver Screen Productions;Morgan Williams;
2021;Broken Paradox;Moonlight Films;Jordan Young and Blake Baker and Rowan Young;
2028;Distant Chronicle;Titan Films;Sydney Anderson;
2024;Distant Reckoning;Moonlight Films;Quinn Young and Emerson Johnson and Sydney Lewis;
2021;Storm Promise;Starlight Studios;Sydney Allen and Rowan Smith and Alex Davis;
2003;Radiant Rise;Lighthouse Pictures;Casey Scott and Parker Wilson;
2019;Radiant Rise;Nova Pictures;Quinn Davis and Quinn Lewis;
2012;Secret Promise;Nova Pictures;Logan Green and Jamie Williams and Parker Wilson;
2027;Ancient Empire;Nova Pictures;Logan Young and Alex Miller and Quinn Young;
2028;Last Frontier;Silver Screen Productions;Reese Anderson and Emerson Green;yes
2003;Storm Horizon;Sunset Cinema;Skyler Williams and Dakota Clark;
2011;Eternal Frontier;Blue Horizon;Alex Hall and Morgan Lewis;
2019;Infinite Labyrinth;Lighthouse Pictures;Emerson Miller and Reese Lewis and Rowan King;
2023;Fallen Legacy;Aurora Media;Reese Allen and Logan Miller and Rowan Hall;
2018;Ancient Legacy;Starlight Studios;Rowan Wilson;
2020;Mystic Chronicle;Lighthouse Pictures;Avery Anderson and Dakota Lewis and Cameron King;
2013;Storm Journey;Moonlight Films;Jamie Anderson;
2022;Golden Empire;Nova Pictures;Morgan Williams and Taylor Young;
2000;Ancient Echo;Starlight Studios;Parker Baker;
2020;Ancient Destiny;Sunset Cinema;Reese Allen;
2004;Last Journey;Moonlight Films;Blake Clark;
2014;Eternal Chronicle;Eclipse Entertainment;Logan Scott and Casey Green;
2020;Distant Whisper;Eclipse Entertainment;Emerson Taylor and Blake Young and Emerson Wilson;
2014;Mystic Rise;Aurora Media;Logan Taylor and Alex Smith;
2024;Shadow Rise;Blue Horizon;Emerson Smith and Skyler Young;
2024;Celestial Destiny;Lighthouse Pictures;Alex Scott;
2013;Eternal Whisper;Aurora Media;Casey Walker;
2007;Secret Legacy;Aurora Media;Jamie King and Finley Anderson and Reese Scott;
2013;Infinite Legacy;Nova Pictures;Reese Williams;
2019;Fallen Chronicle;Lighthouse Pictures;Riley Clark and Alex Jones;yes
2017;Crimson Journey;Starlight Studios;Parker Jones and Dakota Smith;
2004;Crimson Miracle;Sunset Cinema;Quinn Taylor and Skyler Lewis;
2025;Silent Revelation;Starlight Studios;Jordan Anderson;
2002;Eternal Miracle;Nova Pictures;Parker Walker;
2003;Lost Fall;Titan Films;Jordan Davis;
2024;Hidden Echo;Sunset Cinema;Avery Taylor and Rowan Miller;
2001;Eternal Echo;Starlight Studios;Skyler Taylor and Riley Lewis;
2027;Infinite Odyssey;Sunset Cinema;Quinn Clark and Alex Miller and Parker Green;
2025;Lost Saga;Moonlight Films;Skyler Baker and Logan Lewis and Taylor Wilson;
2002;Lonely Revelation;Moonlight Films;Blake Jones;
2025;Hidden Reckoning;Titan Films;Rowan Scott;
2024;Epic Promise;Sunset Cinema;Avery Lewis;
2008;Silent Miracle;Titan Films;Reese Scott and Skyler Davis and Cameron Miller;
2010;Fallen Chronicle;Lighthouse Pictures;Casey Brown and Sydney Jones and Dakota Taylor;
2017;Epic Promise;Moonlight Films;Sydney Walker and Casey Smith and Finley Lewis;
2007;Radiant Legacy;Eclipse Entertainment;Riley King and Skyler Scott;
2009;Radiant Whisper;Silver Screen Productions;Morgan King;
2001;Shadow Journey;Moonlight Films;Morgan Young;
2001;Distant Fall;Titan Films;Finley Green and Parker Johnson and Blake Wilson;
2002;Crimson Empire;Titan Films;Dakota Johnson;
2023;Celestial Rise;Moonlight Films;Parker King and Jordan Brown and Reese Brown;
2016;Hidden Odyssey;Sunset Cinema;Avery Davis and Riley King and Jamie Green;
2005;Eternal Frontier;Aurora Media;Morgan Green and Blake Allen and Quinn Williams;
2005;Eternal Fall;Eclipse Entertainment;Casey Scott and Finley Allen;
2028;Radiant Frontier;Silver Screen Productions;Quinn Hall and Rowan Baker;
2017;Infinite Fall;Eclipse Entertainment;Parker Lewis and Dakota Allen and Avery Smith;
2009;Lonely Saga;Eclipse Entertainment;Reese Smith;
2007;Infinite Revelation;Moonlight Films;Parker Scott and Sydney Scott and Cameron Green;
2001;Fallen Rise;Nova Pictures;Parker Lewis;
2007;Lost Chronicle;Blue Horizon;Cameron Walker;
2006;Golden Revelation;Titan Films;Skyler Green;
2003;Lonely Destiny;Moonlight Films;Cameron Walker and Taylor Johnson and Rowan Lewis;
2013;Celestial Odyssey;Sunset Cinema;Finley Smith and Avery Johnson and Reese King;yes
2017;Distant Reckoning;Silver Screen Productions;Jamie Jones and Jordan Walker and Dakota Baker;
2002;Lost Whisper;Blue Horizon;Logan Jones and Rowan Brown;
2023;Silent Frontier;Aurora Media;Taylor Walker and Sydney Hall;
2004;Shadow Miracle;Eclipse Entertainment;Skyler Walker;
2006;Eternal Paradox;Eclipse Entertainment;Jamie Brown;
2013;Radiant Labyrinth;Starlight Studios;Quinn Hall;
2006;Radiant Rise;Lighthouse Pictures;Alex Taylor and Casey Lewis and Finley Allen;
2014;Silent Quest;Sunset Cinema;Blake Jones and Taylor Williams and Jordan Wilson;
2029;Shadow Destiny;Moonlight Films;Morgan Taylor and Dakota Young;yes
2006;Eternal Empire;Sunset Cinema;Sydney Anderson and Emerson Young and Finley Jones;
2021;Crimson Fall;Lighthouse Pictures;Sydney Johnson and Parker Miller and Jordan Taylor;
2022;Lonely Chronicle;Moonlight Films;Alex Brown and Avery Anderson;
2029;Epic Odyssey;Moonlight Films;Avery Wilson and Avery King;
2003;Radiant Miracle;Lighthouse Pictures;Taylor Miller and Riley King and Dakota Scott;
2000;Silent Quest;Eclipse Entertainment;Rowan Young and Avery Miller;yes
2021;Epic Rise;Blue Horizon;Sydney Anderson;
2020;Secret Fall;Moonlight Films;Parker Wilson and Logan Clark and Avery Jones;yes
2012;Last Paradox;Sunset Cinema;Jamie Green and Logan Hall;
2029;Lonely Revelation;Titan Films;Logan Davis and Logan Green and Emerson Davis;
2009;Last Reckoning;Aurora Media;Cameron Miller;
2017;Eternal Odyssey;Nova Pictures;Logan Smith and Rowan Hall;
2009;Fallen Chronicle;Nova Pictures;Morgan Jones;
2024;Lonely Paradox;Blue Horizon;Cameron Baker and Jamie Baker and Jamie Wilson;
2011;Golden Miracle;Nova Pictures;Finley Young and Blake Miller and Avery Young;
2005;Infinite Quest;Moonlight Films;Alex Anderson and Quinn Wilson;
2006;Infinite Legacy;Nova Pictures;Finley Young and Rowan Allen;
2013;Ancient Horizon;Lighthouse Pictures;Avery Clark and Avery Baker and Cameron Baker;
2020;Silent Echo;Starlight Studios;Dakota Johnson and Jamie King;
2023;Silent Frontier;Aurora Media;Jordan Davis and Reese Allen and Avery Taylor;
2009;Fallen Journey;Aurora Media;Finley Johnson and Sydney Jones;
2020;Fallen Legacy;Eclipse Entertainment;Casey Green;
2022;Eternal Reckoning;Aurora Media;Rowan Allen and Alex Miller;
2028;Infinite Promise;Starlight Studios;Rowan Miller and Morgan Brown;
2014;Epic Legacy;Eclipse Entertainment;Avery King and Finley Miller and Avery Scott;
2024;Storm Revelation;Lighthouse Pictures;Logan Miller and Logan Miller and Jordan Hall;
2023;Fallen Destiny;Nova Pictures;Logan Davis;yes
2024;Secret Saga;Titan Films;Skyler Scott and Alex Baker;
2007;Infinite Labyrinth;Titan Films;Quinn Allen and Taylor Baker;
2007;Eternal Chronicle;Lighthouse Pictures;Emerson Davis and Jordan Miller and Logan Johnson;
2001;Shadow Horizon;Lighthouse Pictures;Reese Clark and Taylor Johnson and Morgan Hall;
2005;Mystic Paradox;Lighthouse Pictures;Emerson Miller and Dakota Green and Blake Johnson;yes
2009;Radiant Rise;Aurora Media;Quinn Scott;yes
2015;Shadow Odyssey;Blue Horizon;Sydney Hall and Sydney Davis;
2019;Silent Odyssey;Lighthouse Pictures;Sydney Brown and Skyler Baker and Reese Hall;
2010;Secret Echo;Lighthouse Pictures;Blake Jones and Finley Green and Skyler King;
2015;Broken Journey;Lighthouse Pictures;Reese Davis;yes
2000;Fallen Odyssey;Sunset Cinema;Quinn Hall and Jordan Clark and Blake Scott;
2006;Crimson Empire;Blue Horizon;Taylor Taylor and Reese King;
2024;Crimson Odyssey;Silver Screen Productions;Avery Green and Finley Smith;
2006;Radiant Revelation;Titan Films;Jordan Jones and Skyler Jones;
2028;Eternal Revelation;Titan Films;Jordan King and Reese Green;
2010;Eternal Frontier;Moonlight Films;Cameron Clark;
2028;Epic Legacy;Nova Pictures;Alex Clark and Avery Scott;
2018;Lonely Fall;Nova Pictures;Morgan Taylor and Rowan Johnson and Parker Hall;yes
2028;Lost Rise;Titan Films;Riley King and Reese Miller;
2025;Silent Empire;Starlight Studios;Sydney Smith and Skyler King;
2010;Broken Echo;Blue Horizon;Logan Williams and Sydney Jones;
2001;Fallen Fall;Eclipse Entertainment;Alex Taylor;
2021;Lonely Legacy;Silver Screen Productions;Jordan Williams and Sydney Taylor;yes
2024;Mystic Empire;Silver Screen Productions;Riley Taylor;
2010;Fallen Odyssey;Blue Horizon;Casey Anderson;
2019;Eternal Echo;Starlight Studios;Emerson Lewis;
2008;Shadow Destiny;Lighthouse Pictures;Casey Brown;
2028;Radiant Frontier;Titan Films;Logan Smith;
2021;Silent Odyssey;Aurora Media;Taylor Hall;
2022;Lonely Labyrinth;Titan Films;Blake Taylor and Rowan Davis and Emerson Brown;
2024;Fallen Labyrinth;Nova Pictures;Dakota Williams;
2021;Fallen Miracle;Sunset Cinema;Logan Baker;
2011;Ancient Journey;Silver Screen Productions;Dakota Young and Alex Brown;
